age,gender,region_category,membership_category,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn
44,F,Town,No Membership,Yes,CID12313,Gift Vouchers/Coupons,Desktop,Wi-Fi,14,516.16,21027.0,22.0,No,Yes,Yes,Solved in Follow-up,Poor Website,1
37,M,City,No Membership,Yes,CID3793,Gift Vouchers/Coupons,Desktop,Mobile_Data,11,53.27,25239.56,6.0,No,Yes,Yes,Unsolved,Poor Website,1
31,F,City,No Membership,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,20,113.13,24483.66,16.0,No,Yes,Yes,Solved,Poor Website,1
21,M,Town,Gold Membership,Yes,CID24708,Gift Vouchers/Coupons,Desktop,Mobile_Data,10,55.38,8982.5,28.0,Yes,No,Yes,Solved in Follow-up,No reason specified,0
25,F,Village,Basic Membership,Yes,CID19275,Gift Vouchers/Coupons,Both,Wi-Fi,14,570.23,35119.93,8.0,Yes,Yes,No,Not Applicable,Poor Product Quality,1
60,M,City,Gold Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,14,55.53,41672.02,33.02434314076341,Yes,No,No,Not Applicable,Too many ads,0
11,M,Town,No Membership,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13,41.09,44007.18,18.0,Yes,No,Yes,Unsolved,Poor Customer Service,1
39,M,Town,No Membership,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,9,241.74,33170.16,6.0,Yes,No,Yes,No Information Available,No reason specified,1
33,M,Village,No Membership,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,15,49.86,44289.97,25.0,Yes,No,No,Not Applicable,Poor Customer Service,1
30,M,Village,No Membership,Yes,CID53809,Gift Vouchers/Coupons,Smartphone,Mobile_Data,21,30.37,49404.86,23.0,Yes,No,Yes,No Information Available,Poor Website,1
