age,gender,region_category,membership_category,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn
44,0,1,2,1,253,1,1,2,14,516.16,21027.0,375,500.69,0,1,1,3,3,1
37,1,0,2,1,3033,1,1,1,11,53.27,25239.56,794,567.66,0,1,1,4,3,1
31,0,0,2,0,6286,0,2,1,20,113.13,24483.66,354,663.06,0,1,1,2,3,1
21,1,1,1,1,1601,1,1,1,10,55.38,8982.5,391,756.21,1,0,1,3,0,0
25,0,2,0,1,1003,1,0,2,14,570.23,35119.93,800,699.7,1,1,0,1,2,1
60,1,0,1,0,6286,1,2,2,14,55.53,41672.02,462,798.12,1,0,0,1,7,0
11,1,1,2,0,6286,0,2,0,13,41.09,44007.18,357,608.26,1,0,1,4,1,1
39,1,1,2,0,6286,0,2,0,9,241.74,33170.16,794,551.11,1,0,1,0,0,1
33,1,2,2,0,6286,2,1,2,15,49.86,44289.97,380,703.96,1,0,0,1,1,1
30,1,2,2,1,4785,1,2,1,21,30.37,49404.86,376,630.61,1,0,1,0,3,1
43,1,0,2,0,6286,0,1,0,17,108.3,21725.57,374,225.00442762412777,0,1,0,1,3,1
29,0,1,5,0,6286,2,1,0,18,300.38,12069.06,799,777.31,0,1,0,1,7,0
20,0,2,2,0,6286,1,1,2,22,272.31,42743.44,349,687.26,1,0,0,1,2,1
60,1,0,1,1,3842,1,0,0,11,537.25,1773.49,794,711.76,1,1,0,1,2,0
12,1,0,4,0,6286,0,1,2,8,198.26,26105.24,799,721.36,1,0,0,1,1,0
52,1,1,5,0,6286,1,2,2,9,119.47,10101.48,391,158.54776452544024,1,0,0,1,3,1
30,1,0,0,1,3006,1,2,1,15,68.19,21111.9,376,574.01,1,1,1,3,1,1
26,0,1,2,1,1774,2,1,2,20,194.85,5912.06,350,568.34,1,0,0,1,7,1
49,0,2,3,1,912,0,0,0,8,706.36,19062.25,802,780.58,1,0,0,1,2,0
17,1,0,3,0,6286,1,1,2,6,348.07,94100.72,582,824.95,1,1,0,1,8,0
58,0,2,1,0,6286,2,2,1,11,30.78,48080.03,346,713.62,1,0,0,1,2,0
41,1,1,3,0,6286,2,0,0,13,282.87,27528.03,387,743.8,1,0,0,1,3,0
38,1,1,1,0,6286,1,2,1,8,324.75,28535.13,387,770.31,1,1,1,2,1,0
20,1,0,5,1,1516,2,1,0,16,237.39,25000.09,354,704.4,0,1,0,1,3,1
